mpn,active_ma,standby_ua,sleep_ua
STM32H742ZGT6,45.00,3.00,900.00
STM32C011D6U6,5.00,0.30,80.00
STM32C011F4U6,5.00,0.30,80.00
STM32C011F6U6,5.00,0.30,80.00
STM32C011J4M6,5.00,0.30,80.00
STM32C011J6M6,5.00,0.30,80.00
STM32C031C4T6,5.00,0.30,80.00
STM32H743VIT6,45.00,3.00,900.00
STM32C031C6T6,5.00,0.30,80.00
STM32C031F4P6,5.00,0.30,80.00
STM32C031F6P6,5.00,0.30,80.00
STM32C031G4U6,5.00,0.30,80.00
STM32C031G6U6,5.00,0.30,80.00
STM32C031K4T6,5.00,0.30,80.00
STM32C031K6T6,5.00,0.30,80.00
STM32F030C6T6,7.00,1.00,200.00
STM32F030C8T6,7.00,1.00,200.00
STM32F030CCT6,7.00,1.00,200.00
STM32F030F4P6,7.00,1.00,200.00
STM32F030K6T6,7.00,1.00,200.00
STM32F030R8T6,7.00,1.00,200.00
STM32F030RCT6,7.00,1.00,200.00
STM32F031C4T6,7.00,1.00,200.00
STM32F031C6T6,7.00,1.00,200.00
STM32F031E6Y6,7.00,1.00,200.00
STM32F031F4P6,7.00,1.00,200.00
STM32F031F6P6,7.00,1.00,200.00
STM32F031G4U6,7.00,1.00,200.00
STM32F031G6U6,7.00,1.00,200.00
STM32F031K4U6,7.00,1.00,200.00
STM32F031K6U6,7.00,1.00,200.00
STM32F038C6T6,7.00,1.00,200.00
STM32F038E6Y6,7.00,1.00,200.00
STM32F038F6P6,7.00,1.00,200.00
STM32F038G6U6,7.00,1.00,200.00
STM32F038K6U6,7.00,1.00,200.00
STM32F042C4T6,7.00,1.00,200.00
STM32F042C6T6,7.00,1.00,200.00
STM32F042F4P6,7.00,1.00,200.00
STM32F042F6P6,7.00,1.00,200.00
STM32F042G4U6,7.00,1.00,200.00
STM32F042G6U6,7.00,1.00,200.00
STM32F042K4T6,7.00,1.00,200.00
STM32F042K6T6,7.00,1.00,200.00
STM32F048C6U6,7.00,1.00,200.00
STM32F048G6U6,7.00,1.00,200.00
STM32F051C4T6,7.00,1.00,200.00
STM32F051C6T6,7.00,1.00,200.00
STM32F051C8T6,7.00,1.00,200.00
STM32F051K4U6,7.00,1.00,200.00
STM32F051K6U6,7.00,1.00,200.00
STM32F051K8U6,7.00,1.00,200.00
STM32F051R4T6,7.00,1.00,200.00
STM32F051R6T6,7.00,1.00,200.00
STM32F051R8T6,7.00,1.00,200.00
STM32F070C6T6,7.00,1.00,200.00
STM32F070CBT6,7.00,1.00,200.00
STM32F070F6P6,7.00,1.00,200.00
STM32F070RBT6,7.00,1.00,200.00
STM32F071C8T6,7.00,1.00,200.00
STM32F071CBT6,7.00,1.00,200.00
STM32F071RBT6,7.00,1.00,200.00
STM32F072C8T6,7.00,1.00,200.00
STM32F072CBT6,7.00,1.00,200.00
STM32F072R8T6,7.00,1.00,200.00
STM32F072RBT6,7.00,1.00,200.00
STM32F091CBT6,7.00,1.00,200.00
STM32F091CCT6,7.00,1.00,200.00
STM32F091RBT6,7.00,1.00,200.00
STM32F091RCT6,7.00,1.00,200.00
STM32F091VBT6,7.00,1.00,200.00
STM32F091VCT6,7.00,1.00,200.00
STM32F100C4T6B,14.00,2.00,500.00
STM32F100C6T6B,14.00,2.00,500.00
STM32F100C8T6B,14.00,2.00,500.00
STM32F100CBT6B,14.00,2.00,500.00
STM32F100R4T6B,14.00,2.00,500.00
STM32F100R6T6B,14.00,2.00,500.00
STM32F100R8T6B,14.00,2.00,500.00
STM32F100RBT6B,14.00,2.00,500.00
STM32F100RCT6B,14.00,2.00,500.00
STM32F100RDT6B,14.00,2.00,500.00
STM32F100RET6B,14.00,2.00,500.00
STM32F100VBT6B,14.00,2.00,500.00
STM32F100VCT6B,14.00,2.00,500.00
STM32F100VET6B,14.00,2.00,500.00
STM32F101C4T6A,14.00,2.00,500.00
STM32F101C6T6A,14.00,2.00,500.00
STM32F101C8T6A,14.00,2.00,500.00
STM32F101CBT6A,14.00,2.00,500.00
STM32F101R4T6A,14.00,2.00,500.00
STM32F101R6T6A,14.00,2.00,500.00
STM32F101R8T6A,14.00,2.00,500.00
STM32F101RBT6A,14.00,2.00,500.00
STM32F101RCT6,14.00,2.00,500.00
STM32F101RDT6,14.00,2.00,500.00
STM32F101RET6,14.00,2.00,500.00
STM32F101VBT6,14.00,2.00,500.00
STM32F101VCT6,14.00,2.00,500.00
STM32F101VET6,14.00,2.00,500.00
STM32F103C4T6A,14.00,2.00,500.00
STM32F103C6T6A,14.00,2.00,500.00
STM32F103C8T6,14.00,2.00,500.00
STM32F103CBT6,14.00,2.00,500.00
STM32F103R4T6A,14.00,2.00,500.00
STM32F103R6T6A,14.00,2.00,500.00
STM32F103R8T6,14.00,2.00,500.00
STM32F103RBT6,14.00,2.00,500.00
STM32F103RCT6,14.00,2.00,500.00
STM32F103RDT6,14.00,2.00,500.00
STM32F103RET6,14.00,2.00,500.00
STM32F103VBT6,14.00,2.00,500.00
STM32F103VCT6,14.00,2.00,500.00
STM32F103VDT6,14.00,2.00,500.00
STM32F103VET6,14.00,2.00,500.00
STM32F103ZCT6,14.00,2.00,500.00
STM32F103ZDT6,14.00,2.00,500.00
STM32F103ZET6,14.00,2.00,500.00
STM32F105R8T6,14.00,2.00,500.00
STM32F105RBT6,14.00,2.00,500.00
STM32F105RCT6,14.00,2.00,500.00
STM32F105VBT6,14.00,2.00,500.00
STM32F105VCT6,14.00,2.00,500.00
STM32F107RBT6,14.00,2.00,500.00
STM32F107RCT6,14.00,2.00,500.00
STM32F107VBT6,14.00,2.00,500.00
STM32F107VCT6,14.00,2.00,500.00
STM32F205RBT6,20.00,2.50,600.00
STM32F205RCT6,20.00,2.50,600.00
STM32F205RET6,20.00,2.50,600.00
STM32F205RGT6,20.00,2.50,600.00
STM32F205VBT6,20.00,2.50,600.00
STM32F205VCT6,20.00,2.50,600.00
STM32F205VET6,20.00,2.50,600.00
STM32F205VGT6,20.00,2.50,600.00
STM32F205ZCT6,20.00,2.50,600.00
STM32F205ZET6,20.00,2.50,600.00
STM32F205ZGT6,20.00,2.50,600.00
STM32F207ICT6,20.00,2.50,600.00
STM32F207IET6,20.00,2.50,600.00
STM32F207IGT6,20.00,2.50,600.00
STM32F207VCT6,20.00,2.50,600.00
STM32F207VET6,20.00,2.50,600.00
STM32F207VGT6,20.00,2.50,600.00
STM32F207ZCT6,20.00,2.50,600.00
STM32F207ZET6,20.00,2.50,600.00
STM32F207ZGT6,20.00,2.50,600.00
STM32F215RET6,20.00,2.50,600.00
STM32F215RGT6,20.00,2.50,600.00
STM32F217IGT6,20.00,2.50,600.00
STM32F217VGT6,20.00,2.50,600.00
STM32F217ZGT6,20.00,2.50,600.00
STM32F301C6T6,12.00,1.50,350.00
STM32F301C8T6,12.00,1.50,350.00
STM32F301K6U6,12.00,1.50,350.00
STM32F301K8U6,12.00,1.50,350.00
STM32F301R6T6,12.00,1.50,350.00
STM32F301R8T6,12.00,1.50,350.00
STM32F302C6T6,12.00,1.50,350.00
STM32F302C8T6,12.00,1.50,350.00
STM32F302CBT6,12.00,1.50,350.00
STM32F302CCT6,12.00,1.50,350.00
